original_file,face_index,saved_crop_path,csv_name,csv_class,manual_label
train_0.npy,0,extracted_faces/train_0_face_0.jpg,Mila_Kunis,2,Mila_Kunis
train_1.npy,0,extracted_faces/train_1_face_0.jpg,Mila_Kunis,2,Mila_Kunis
train_2.npy,0,extracted_faces/train_2_face_0.jpg,Michael_Cera,0,Michael_Cera
train_3.npy,0,extracted_faces/train_3_face_0.jpg,Mila_Kunis,2,Mila_Kunis
train_4.npy,0,extracted_faces/train_4_face_0.jpg,Michael_Cera,0,Michael_Cera
train_5.npy,0,extracted_faces/train_5_face_0.jpg,Jesse_Eisenberg,1,Jesse_Eisenberg
train_6.npy,0,extracted_faces/train_6_face_0.jpg,Mila_Kunis,2,Mila_Kunis
train_7.npy,0,extracted_faces/train_7_face_0.jpg,Jesse_Eisenberg,1,Jesse_Eisenberg
train_8.npy,0,extracted_faces/train_8_face_0.jpg,Mila_Kunis,2,Mila_Kunis
train_9.npy,0,extracted_faces/train_9_face_0.jpg,Jesse_Eisenberg,1,Jesse_Eisenberg
train_10.npy,0,extracted_faces/train_10_face_0.jpg,Jesse_Eisenberg,1,Jesse_Eisenberg
train_11.npy,0,extracted_faces/train_11_face_0.jpg,Sarah_Hyland,0,Sarah_Hyland
train_12.npy,0,extracted_faces/train_12_face_0.jpg,Jesse_Eisenberg,1,Jesse_Eisenberg
train_13.npy,0,extracted_faces/train_13_face_0.jpg,Jesse_Eisenberg,1,Jesse_Eisenberg
train_14.npy,0,extracted_faces/train_14_face_0.jpg,Jesse_Eisenberg,1,Jesse_Eisenberg
train_15.npy,0,extracted_faces/train_15_face_0.jpg,Michael_Cera,0,Michael_Cera
train_16.npy,0,extracted_faces/train_16_face_0.jpg,Michael_Cera,0,Michael_Cera
train_17.npy,0,extracted_faces/train_17_face_0.jpg,Jesse_Eisenberg,1,Jesse_Eisenberg
train_18.npy,0,extracted_faces/train_18_face_0.jpg,Jesse_Eisenberg,1,Michael_Cera
train_18.npy,1,extracted_faces/train_18_face_1.jpg,Jesse_Eisenberg,1,Jesse_Eisenberg
train_19.npy,0,extracted_faces/train_19_face_0.jpg,Jesse_Eisenberg,1,Jesse_Eisenberg
train_20.npy,0,extracted_faces/train_20_face_0.jpg,Jesse_Eisenberg,1,Jesse_Eisenberg
train_21.npy,0,extracted_faces/train_21_face_0.jpg,Sarah_Hyland,0,Sarah_Hyland
train_22.npy,0,extracted_faces/train_22_face_0.jpg,Jesse_Eisenberg,1,Jesse_Eisenberg
train_22.npy,1,extracted_faces/train_22_face_1.jpg,Jesse_Eisenberg,1,Not_A_Face
train_23.npy,0,extracted_faces/train_23_face_0.jpg,Jesse_Eisenberg,1,Jesse_Eisenberg
train_24.npy,0,extracted_faces/train_24_face_0.jpg,Mila_Kunis,2,Mila_Kunis
train_25.npy,0,extracted_faces/train_25_face_0.jpg,Michael_Cera,0,Michael_Cera
train_25.npy,1,extracted_faces/train_25_face_1.jpg,Michael_Cera,0,Not_A_Face
train_26.npy,0,extracted_faces/train_26_face_0.jpg,Mila_Kunis,2,Mila_Kunis
train_27.npy,0,extracted_faces/train_27_face_0.jpg,Jesse_Eisenberg,1,Jesse_Eisenberg
train_28.npy,0,extracted_faces/train_28_face_0.jpg,Mila_Kunis,2,Mila_Kunis
train_28.npy,1,extracted_faces/train_28_face_1.jpg,Mila_Kunis,2,Not_A_Face
train_29.npy,0,extracted_faces/train_29_face_0.jpg,Mila_Kunis,2,Mila_Kunis
train_29.npy,1,extracted_faces/train_29_face_1.jpg,Mila_Kunis,2,Not_A_Face
